Austria,05-07-2020,07-07-2020,1
Styria,12-07-2020,14-07-2020,0
Hungary,19-07-2020,22-07-2020,1
Great Britain,02-08-2020,05-08-2020,1
Anniversary,09-08-2020,11-08-2020,0
Spain,16-08-2020,18-08-2020,1
Belgium,30-08-2020,02-09-2020,1
Italy,06-09-2020,08-09-2020,1
Tuscany,13-09-2020,15-09-2020,0
Russia,27-09-2020,29-09-2020,0
Eifel,11-10-2020,13-10-2020,1
Portugal,25-10-2020,27-10-2020,1
Emilia Romagna,01-11-2020,03-11-2020,0
Turkey,15-11-2020,17-11-2020,1
Bahrain,29-11-2020,01-12-2020,0
Sakhir,06-12-2020,08-12-2020,0
Abu Dhabi,13-12-2020,15-12-2020,0
